p.value	estimate	method	df.df	taxonomy	index	qval
0.00318400030391595	-0.82173717569527	Welch Two Sample t-test	3.55081304116921	Homo sapiens	725	0.0219717024639406
0.00318455899157933	1.31467881539972	Welch Two Sample t-test	2.47900016033604	Escherichia coli (strain K12)	726	0.0219717024639406
0.00319242851631922	1.14098160866355	Welch Two Sample t-test	3.3305188714824	Escherichia coli (strain K12)	727	0.0219957007403617
0.00319808028007524	1.16732738151951	Welch Two Sample t-test	2.73576845713102	Escherichia coli (strain K12)	728	0.022004373795188
0.00322312920162587	0.833440312619908	Welch Two Sample t-test	3.90297218991633	Escherichia coli (strain K12)	729	0.0221463020177558
0.00323541149770682	1.36125209644932	Welch Two Sample t-test	2.43931719884228	Escherichia coli (strain K12)	730	0.0222002413589225
0.00325101884633268	-0.53008081982526	Welch Two Sample t-test	3.35746269393679	Homo sapiens	731	0.0222162788794515
0.00325116814473333	1.61683764620166	Welch Two Sample t-test	2.49540406816724	Escherichia coli (strain K12)	732	0.0222162788794515
0.00325161523712037	3.83805260474775	Welch Two Sample t-test	2.18710173501264	Escherichia coli (strain K12)	733	0.0222162788794515
0.00325548985775952	1.16383612368779	Welch Two Sample t-test	2.61386305122313	Escherichia coli (strain K12)	734	0.0222162788794515
0.00326785248044439	-0.377893341218419	Welch Two Sample t-test	3.99975076725919	Homo sapiens	735	0.0222351223681903
0.00327109116763917	1.08396062165232	Welch Two Sample t-test	3.32183039585874	Escherichia coli (strain K12)	736	0.0222351223681903
0.00327156821428554	-1.01565042999201	Welch Two Sample t-test	2.62347618623126	Homo sapiens	737	0.0222351223681903
0.0032920998492994	0.982625281346798	Welch Two Sample t-test	2.60457385935564	Escherichia coli (strain K12)	738	0.0223360728428252
0.00329533995425191	1.64154135454049	Welch Two Sample t-test	3.00903325389352	Escherichia coli (strain K12)	739	0.0223360728428252
0.00334043134928468	-0.719371662326774	Welch Two Sample t-test	3.8390481734669	Homo sapiens	740	0.0225884592555499
0.00334159479104861	1.2292695481637	Welch Two Sample t-test	2.24901360087034	Escherichia coli (strain K12)	741	0.0225884592555499
0.00335673711273143	-0.733430885884694	Welch Two Sample t-test	3.94733698452694	Homo sapiens	742	0.0226602374631695
