Proteins	taxon
Q9Y446;H0YEY5	Homo sapiens
Q9UJX2;Q9UJX2-2;D6RBY8;D6RCF8	Homo sapiens
P02918	Escherichia coli (strain K12)
Q9NRF9	Homo sapiens
Q99575	Homo sapiens
O60885	Homo sapiens
P69228	Escherichia coli (strain K12)
P60240	Escherichia coli (strain K12)
F5GY65;I3L1P8;Q02978	Homo sapiens
P0ABA6	Escherichia coli (strain K12)
P0A955	Escherichia coli (strain K12)
Q6P1J9;B4DV47	Homo sapiens
P0A794	Escherichia coli (strain K12)
P55263-2;P55263;P55263-3;B7Z800	Homo sapiens
O95456-2;O95456;F8WBH7	Homo sapiens
P35232;C9JW96;C9JZ20;E7ESE2;E9PCW0	Homo sapiens
P0A9S1	Escherichia coli (strain K12)
P00579	Escherichia coli (strain K12)
Q14683;G8JLG1	Homo sapiens
P57740;B4DZ67;Q6PJE1	Homo sapiens
P20605	Escherichia coli (strain K12)
P27248	Escherichia coli (strain K12)
P0A7Z4	Escherichia coli (strain K12)
Q7Z784;Q99615	Homo sapiens
B3KMG0;Q53GS7;Q53GS7-2	Homo sapiens
P31133	Escherichia coli (strain K12)
P13667	Homo sapiens
Q14204	Homo sapiens
F5H3H6;Q9BQ39	Homo sapiens
E7ES35;Q5R3I4	Homo sapiens
P25437	Escherichia coli (strain K12)
P05055	Escherichia coli (strain K12)
P22314;B4DDE4;Q5JRR6	Homo sapiens
B4DLG2;O75152	Homo sapiens
P56262	Escherichia coli (strain K12)
P13804;P13804-2;H0YLU7;H0YK49;H0YNX6;H0YL12	Homo sapiens
Q3SXM5-2;Q3SXM5;H3BQI7;H3BT52;H3BNH5	Homo sapiens
P76187	Escherichia coli (strain K12)
P10809	Homo sapiens
P0A6F5	Escherichia coli (strain K12)
P0A7B8;P0ACS7	Escherichia coli (strain K12)
P0ABH9	Escherichia coli (strain K12)
Q14974	Homo sapiens
P37636	Escherichia coli (strain K12)
Q99460;Q99460-2;H7C378	Homo sapiens
A1L0T0	Homo sapiens
B0QYK1;B0QYK0;Q01844-3;Q01844;Q01844-5;H7BY36;Q01844-2;C9JGE3	Homo sapiens
Q29RF7	Homo sapiens
Q9BTC0	Homo sapiens
F5H1D6;Q07864;E7ETS8;E7ENR1;F5H7H6	Homo sapiens
Q6P9B9	Homo sapiens
P0A9L8	Escherichia coli (strain K12)
Q9NR30;Q9NR30-2	Homo sapiens
P58107;E9PPU0	Homo sapiens
P63224	Escherichia coli (strain K12)
Q13435;E9PPJ0;E9PJT3;E9PJ04;H0YCG1	Homo sapiens
Q9H3P7	Homo sapiens
P12270;Q5SWX9	Homo sapiens
P25746	Escherichia coli (strain K12)
Q96GX9	Homo sapiens
Q6P2Q9;I3L0J9	Homo sapiens
Q9Y5X3;Q5QPE4;Q5QPE5	Homo sapiens
P06733;E5RI09;E5RG95;F5H1C3;F5H5U1;F5GWQ3;F5GZ30;B7Z2X9;P09104;F5H0C8;P13929;P13929-3;P13929-2;D3DTL2;E5RGZ4	Homo sapiens
Q15046;H3BRC9	Homo sapiens
Q9UMY1	Homo sapiens
Q9H9L3	Homo sapiens
P0A7W7	Escherichia coli (strain K12)
Q92785;B4DT58;E9PN04	Homo sapiens
Q8NFQ8	Homo sapiens
Q15125;C9J719;C9JJ78	Homo sapiens
P35611-2;E7EV99;Q86XM2;A2A3N8;E7ENY0;P35611;P35611-3;Q96D30;D6RJE2;D6RAH3;D6RF25	Homo sapiens
Q14146	Homo sapiens
Q9BV44;H7C3J3	Homo sapiens
P11172;B5LY68;P11172-2;B5LY72	Homo sapiens
P0ABF1	Escherichia coli (strain K12)
P02545;P02545-3;Q6UYC3;Q5TCJ4;P02545-2;Q3BDU5	Homo sapiens
P0AA53	Escherichia coli (strain K12)
P05141	Homo sapiens
Q12873-2;Q12873;E9PG89;H7C3H7	Homo sapiens
F5H2G1;F5GWX5;Q14839;Q14839-2	Homo sapiens
P04083;Q5T3N1;Q5T3N0	Homo sapiens
P78527	Homo sapiens
Q14019	Homo sapiens
Q8N163-2;Q8N163;E5RFJ3;H0YC69;E5RGU7;H0YC58	Homo sapiens
Q9C0B1	Homo sapiens
P54136;E5RJM9	Homo sapiens
P30419-2;P30419	Homo sapiens
Q8NBJ5	Homo sapiens
O75340;Q2YDC2;E7ESR3;E7EPW6;D6RA21;Q86W51	Homo sapiens
Q9Y4E8-2;Q9Y4E8-3;E9PCQ3;Q9Y4E8;G5E9A6;P51784;Q13107-2;Q13107	Homo sapiens
P0A867;P0A870	Escherichia coli (strain K12)
Q96QK1;F5GYF5	Homo sapiens
P00558;B7Z7A9	Homo sapiens
P17993	Escherichia coli (strain K12)
P76503	Escherichia coli (strain K12)
Q96T76;F8W9Y2;H7C1W5	Homo sapiens
P0AAI9	Escherichia coli (strain K12)
Q9Y5J1;B2RAX6	Homo sapiens
Q96I25	Homo sapiens
Q99536;E9PF80	Homo sapiens
P09382;F8WEI7	Homo sapiens
P22234;E9PBS1;P22234-2;D6RF62	Homo sapiens
P49903;B4DWK0	Homo sapiens
P36952	Homo sapiens
P61889;Q1PI59	Escherichia coli (strain K12)
P63272	Homo sapiens
Q14690;F5H7X0	Homo sapiens
O43707;D6PXK4;F5GXS2	Homo sapiens
Q8WUA2	Homo sapiens
Q8WVB6;Q8WVB6-2;E7EXA6;Q8WVB6-3	Homo sapiens
Q96GQ7	Homo sapiens
Q9BQ67	Homo sapiens
I3L3A8;E7EV54;I3L445;I3L4P1;Q8IZL8;C9JFV4;Q8IZL8-2;F8WDZ1	Homo sapiens
Q9NR09;H7C3P0	Homo sapiens
B7Z2X9;P09104;F5H0C8;P13929;P13929-3;P13929-2;D3DTL2	Homo sapiens
O94973;O94973-2;O94973-3;C9J1S3;E9PBJ2;O95782-2;O95782	Homo sapiens
P06703	Homo sapiens
P15927;P15927-2;P15927-3;Q5TEJ0	Homo sapiens
Q8IXH7-4;Q8IXH7	Homo sapiens
P52272-2;P52272;Q59ES8;F5H7Z1	Homo sapiens
P26358;F5GX68;P26358-2;H0YFC7;P26358-3	Homo sapiens
P61247;D6RG13;D6RAT0;H0Y9Y4;D6RB09;D6R9B6	Homo sapiens
Q13045;E7EPM0;F5H407	Homo sapiens
Q9NSU2-2;Q9NSU2-3;Q9NSU2	Homo sapiens
P49368;B4DUR8;P49368-2	Homo sapiens
Q6KC79-2;Q6KC79	Homo sapiens
P00491;G3V5M2;G3V2H3	Homo sapiens
B7Z3U6;P05023;F5H3A1;B1AKY9;P50993;H0Y7C1;B4DIQ8	Homo sapiens
P61163;F5H3I4;P42025	Homo sapiens
E9PIE4;Q9Y6C9	Homo sapiens
O60832;O60832-2;C9IYT0	Homo sapiens
P42285;D6REC7	Homo sapiens
P0A8C4	Escherichia coli (strain K12)
P21338	Escherichia coli (strain K12)
