	Organism	hpd_2.5	hpd_97.5	mc_error	mean	n_peptides	sd
P29350		-0.20933792990385136	-0.00722643595430883	0.000564680359892389	-0.10882158833649748	2.0	0.051699713270424025
P30084		-0.1653245196092754	0.012802434373865967	0.0004737285518589802	-0.0773704293196205	2.0	0.04596831833619633
P30740		-0.20257804164300808	-0.012641910335607465	0.0004769363344847541	-0.1094136098668159	2.0	0.048803480886048564
P31146		-0.28750791825123667	-0.09413702560163084	0.000546843493641778	-0.18987398278207437	2.0	0.04989715921228796
P31930		-0.7521327449084854	-0.34227702101050816	0.0010313972095387538	-0.5378100935946972	2.0	0.10471708956617355
P31939		-0.20686556383986998	0.16578928498740164	0.0009312226268805835	-0.0223988815552	2.0	0.09420873722173151
P32119		-0.26237183202917214	-0.07123214017045121	0.00045300464684273493	-0.1637799083408478	2.0	0.04874719643171256
P36542		-0.47257230118228877	-0.09540613739236492	0.0008773947731094047	-0.2865880023900904	2.0	0.09642887038548752
P41218		-0.31803074457913305	-0.09321783974301168	0.0004871895274886586	-0.20351450694945117	2.0	0.05753443914107947
P42677, Q5T4L4		-0.817974074726	-0.26163537862288133	0.0014291375732167467	-0.5308958792398691	2.0	0.1433239850027617
P45973		-0.11234571135483917	0.3331457960541855	0.0011682375924313697	0.1144133542132856	2.0	0.11314086979755461
P49189		-0.2365219143817212	-0.03861904297238761	0.0004928860890977314	-0.1372917810496775	2.0	0.05041592261541857
P49257		-0.3590089963711536	-0.10523777845552829	0.0006263043307485525	-0.2336581968219449	2.0	0.06496773150915561
P51572		-0.2987152622949183	0.1455199627302033	0.0008761985907579245	-0.06385239122838024	2.0	0.11264310353712306
P53007		-0.20276401320222104	-0.05862542403208382	0.00034489375938431615	-0.12828039761199253	2.0	0.03713626144007914
P55008, Q5STX8		0.07837519107399493	0.3014728003381384	0.0005107727065502675	0.19007380143063887	2.0	0.05718882628695224
P61081		-0.32383970650259775	-0.034608691703731154	0.0007636572444645892	-0.1761475783702279	2.0	0.07416493288166616
P61160		-0.7146785233822015	-0.10545488261165437	0.0017763920462018385	-0.3998888670276344	2.0	0.15951358170799487
P61981		-0.6337760807433777	-0.19354795620287202	0.0011566523740194888	-0.3996945323232735	2.0	0.11212277200317325
P62424, Q5T8U2		-0.350848392994378	-0.13889760025697706	0.000480025890764534	-0.24137807206741207	2.0	0.05457464551460017
P62993		-0.49434833965174807	-0.030056140730961856	0.00113385976134139	-0.2547881529682212	2.0	0.11810584088203248
